emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,risk_category
fire captain,10.0,NV,MORTGAGE,120000.0,Verified,36.15,,,,0.0,,1988.0,1.0,36.0,11.0,561945.0,176384.0,0.0,0.0,,0.0,0.0,5.0,6.0,6.0,11.0,0.0,0.0,2.0,34000.0,14.0,5.0,4.0,2.0,100.0,0.0,0.0,credit_card,individual,30000.0,36.0,12.62,1005.34,C,C1,Jan-2018,Current,whole,Cash,27196.8,4137.05,2803.2,1333.85,0.0,Low
engineer,10.0,AL,MORTGAGE,100000.0,Not Verified,22.0,,,,0.0,40.0,1995.0,7.0,39.0,22.0,580342.0,87322.0,0.0,1.0,40.0,0.0,0.0,5.0,13.0,6.0,22.0,0.0,0.0,3.0,33300.0,18.0,15.0,6.0,9.0,97.4,0.0,1.0,debt_consolidation,individual,20800.0,60.0,12.62,469.23,C,C1,Jan-2018,Current,whole,Cash,19520.96,2316.98,1279.04,1037.94,0.0,Low
electrician,2.0,PA,MORTGAGE,66872.0,Not Verified,18.09,,,,0.0,,2006.0,7.0,11.0,7.0,53512.0,43908.0,0.0,0.0,,0.0,0.0,2.0,6.0,2.0,7.0,0.0,0.0,4.0,16000.0,7.0,5.0,5.0,0.0,100.0,0.0,0.0,credit_card,individual,9000.0,36.0,21.45,341.16,D,D5,Jan-2018,Current,fractional,Cash,8065.77,1684.35,934.23,750.12,0.0,Low
mechanic,8.0,CA,OWN,75000.0,Not Verified,16.02,,,,0.0,,1993.0,1.0,23.0,14.0,402498.0,23888.0,0.0,0.0,,0.0,5920.0,2.0,4.0,10.0,14.0,0.0,0.0,9.0,42500.0,16.0,11.0,10.0,4.0,100.0,0.0,0.0,vacation,individual,1500.0,36.0,6.08,45.69,A,A2,Feb-2018,Current,whole,Cash,1346.48,181.75,153.52,28.23,0.0,Low
,,FL,MORTGAGE,40000.0,Verified,34.98,,,,1.0,17.0,1997.0,1.0,26.0,13.0,140435.0,37936.0,0.0,0.0,,0.0,0.0,1.0,2.0,4.0,13.0,0.0,0.0,5.0,27500.0,15.0,11.0,10.0,4.0,92.3,0.0,0.0,debt_consolidation,individual,20000.0,36.0,17.47,717.75,D,D1,Mar-2018,Current,whole,Cash,18701.53,2133.84,1298.47,835.37,0.0,Low
director,10.0,NY,OWN,125000.0,Verified,18.22,,,,0.0,28.0,1998.0,4.0,47.0,27.0,557584.0,59865.0,0.0,0.0,54.0,0.0,121.0,4.0,5.0,0.0,27.0,0.0,0.0,10.0,38200.0,26.0,21.0,12.0,3.0,86.4,0.0,0.0,debt_consolidation,individual,28000.0,60.0,11.98,622.57,B,B5,Mar-2018,Current,whole,Cash,27310.5,1226.5,689.5,537.0,0.0,Low
security officer,10.0,NY,RENT,55000.0,Source Verified,9.9,,,,0.0,45.0,2010.0,1.0,28.0,19.0,75450.0,70297.0,0.0,0.0,,0.0,401.0,11.0,3.0,10.0,19.0,0.0,0.0,1.0,4300.0,12.0,8.0,2.0,0.0,92.6,0.0,0.0,major_purchase,individual,15000.0,36.0,15.05,520.35,C,C4,Jan-2018,Current,whole,Cash,13296.68,2570.4,1703.32,867.08,0.0,Low
driver,10.0,NY,RENT,56000.0,Not Verified,12.99,,,,0.0,73.0,2005.0,1.0,29.0,9.0,48540.0,29152.0,0.0,0.0,,0.0,0.0,1.0,9.0,8.0,9.0,0.0,0.0,3.0,9400.0,17.0,8.0,4.0,0.0,89.7,0.0,0.0,debt_consolidation,individual,6000.0,36.0,16.02,211.01,C,C5,Jan-2018,Fully Paid,whole,Cash,0.0,6040.05,6000.0,40.05,0.0,Unknown
dispatch manager,1.0,AZ,MORTGAGE,49000.0,Not Verified,23.59,,,,1.0,22.0,2004.0,1.0,23.0,12.0,209434.0,20820.0,0.0,1.0,22.0,0.0,0.0,1.0,2.0,7.0,12.0,0.0,0.0,2.0,15000.0,12.0,9.0,5.0,5.0,94.7,0.0,1.0,major_purchase,individual,3600.0,36.0,10.91,117.71,B,B4,Feb-2018,Current,whole,Cash,3255.42,479.57,344.58,134.99,0.0,Low
office manager,5.0,NH,RENT,41000.0,Source Verified,13.82,,,,0.0,57.0,2006.0,0.0,14.0,6.0,33600.0,14252.0,0.0,0.0,,0.0,0.0,1.0,2.0,13.0,6.0,0.0,0.0,3.0,23400.0,7.0,5.0,4.0,0.0,92.9,0.0,0.0,debt_consolidation,individual,12000.0,36.0,7.97,375.88,A,A5,Jan-2018,Current,whole,Cash,9863.47,2504.09,2136.53,367.56,0.0,Low
corrections officer ,3.0,VA,RENT,44000.0,Source Verified,27.88,,,,3.0,12.0,2006.0,1.0,28.0,8.0,45280.0,34138.0,0.0,0.0,,0.0,0.0,3.0,5.0,10.0,8.0,0.0,0.0,2.0,4500.0,17.0,5.0,5.0,0.0,92.3,0.0,0.0,debt_consolidation,individual,4000.0,36.0,14.07,136.85,C,C3,Mar-2018,Current,whole,Cash,3726.97,399.61,273.03,126.58,0.0,Low
register nurse,2.0,CA,MORTGAGE,80000.0,Source Verified,6.39,221000.0,Not Verified,12.95,1.0,7.0,2007.0,4.0,21.0,10.0,646137.0,11055.0,0.0,0.0,,0.0,0.0,0.0,6.0,1.0,10.0,0.0,0.0,2.0,10000.0,9.0,8.0,6.0,6.0,95.2,0.0,0.0,debt_consolidation,joint,24000.0,60.0,24.85,702.33,E,E3,Feb-2018,Fully Paid,fractional,Cash,0.0,25606.3518080224,24000.0,1606.35,0.0,Unknown
rental navigator,2.0,SC,MORTGAGE,80000.0,Verified,22.16,,,,0.0,,2004.0,2.0,22.0,11.0,492583.0,67189.0,0.0,1.0,,0.0,0.0,3.0,8.0,2.0,11.0,0.0,0.0,4.0,27200.0,7.0,6.0,4.0,2.0,100.0,0.0,1.0,debt_consolidation,individual,18000.0,60.0,13.58,414.92,C,C2,Feb-2018,Current,whole,Cash,17359.14,1231.18,640.86,590.32,0.0,Low
apprentice lineman,3.0,CO,RENT,54000.0,Verified,10.49,,,,0.0,,2010.0,8.0,10.0,6.0,44239.0,25574.0,0.0,0.0,,0.0,0.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,9000.0,7.0,4.0,1.0,0.0,100.0,0.0,0.0,other,individual,32000.0,36.0,9.93,1031.5,B,B2,Jan-2018,Current,fractional,Cash,28102.53,5139.85,3897.47,1242.38,0.0,Low
sales and marketing manager,0.0,MA,RENT,43200.0,Not Verified,24.5,,,,0.0,30.0,2002.0,0.0,24.0,18.0,76541.0,44351.0,0.0,0.0,,0.0,505.0,3.0,4.0,,18.0,0.0,0.0,4.0,14500.0,19.0,15.0,7.0,0.0,95.8,0.0,0.0,credit_card,individual,10000.0,36.0,6.08,304.59,A,A2,Jan-2018,Current,fractional,DirectPay,8717.45,1516.19,1282.55,233.64,0.0,Low
department executive one,9.0,MI,MORTGAGE,80000.0,Verified,11.4,,,,0.0,,2005.0,3.0,23.0,9.0,124101.0,22407.0,0.0,0.0,,0.0,0.0,3.0,8.0,2.0,9.0,0.0,0.0,1.0,10000.0,6.0,5.0,2.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,24000.0,36.0,7.35,744.9,A,A4,Feb-2018,Current,whole,Cash,21586.34,2964.9,2413.66,551.24,0.0,Low
kitchen ,10.0,AR,RENT,20000.0,Source Verified,2.7,57000.0,Not Verified,29.33,0.0,58.0,2005.0,1.0,11.0,4.0,11800.0,1659.0,0.0,0.0,64.0,0.0,0.0,0.0,2.0,12.0,4.0,0.0,0.0,2.0,10600.0,8.0,4.0,2.0,1.0,81.8,0.0,0.0,credit_card,joint,1925.0,36.0,15.04,66.77,C,C4,Mar-2018,Current,whole,Cash,1795.46,198.7,129.54,69.16,0.0,Low
civil servant,10.0,OH,MORTGAGE,57000.0,Source Verified,5.39,122000.0,Not Verified,15.63,0.0,60.0,1999.0,2.0,17.0,7.0,79869.0,7498.0,0.0,0.0,60.0,0.0,0.0,2.0,6.0,6.0,7.0,0.0,0.0,0.0,8400.0,10.0,5.0,3.0,1.0,94.1,0.0,0.0,debt_consolidation,joint,9000.0,36.0,9.44,288.05,B,B1,Jan-2018,Current,whole,Cash,8120.69,1147.48,879.31,268.17,0.0,Low
,,FL,OWN,31000.0,Not Verified,26.6,,,,0.0,,2000.0,0.0,12.0,8.0,56594.0,33521.0,0.0,0.0,,0.0,0.0,2.0,5.0,,8.0,0.0,0.0,4.0,15500.0,8.0,6.0,5.0,0.0,100.0,0.0,0.0,credit_card,individual,10000.0,60.0,12.61,225.54,C,C1,Mar-2018,Current,whole,DirectPay,9634.82,669.61,365.18,304.43,0.0,Low
,,OH,MORTGAGE,70000.0,Not Verified,25.36,,,,0.0,,1995.0,1.0,42.0,24.0,203922.0,50116.0,0.0,0.0,,0.0,0.0,2.0,14.0,0.0,24.0,0.0,0.0,7.0,48300.0,31.0,21.0,15.0,2.0,100.0,0.0,0.0,debt_consolidation,individual,20000.0,60.0,11.98,444.69,B,B5,Feb-2018,Current,whole,Cash,19257.57,1320.76,742.43,578.33,0.0,Low
system administrator,2.0,MD,RENT,45000.0,Verified,22.88,,,,0.0,,2013.0,3.0,16.0,14.0,57722.0,51862.0,0.0,0.0,,0.0,0.0,8.0,8.0,5.0,14.0,0.0,0.0,4.0,14500.0,8.0,6.0,4.0,0.0,100.0,0.0,0.0,credit_card,individual,10000.0,36.0,12.61,335.07,C,C1,Feb-2018,Current,whole,Cash,9302.76,998.2,697.24,300.96,0.0,Low
mechanic ,3.0,GA,RENT,53000.0,Source Verified,8.0,,,,0.0,,2014.0,1.0,12.0,11.0,35300.0,24970.0,0.0,0.0,,0.0,0.0,6.0,4.0,3.0,11.0,0.0,0.0,1.0,12900.0,6.0,5.0,1.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,7300.0,36.0,6.71,224.44,A,A3,Mar-2018,Current,whole,Cash,6931.73,443.44,368.27,75.17,0.0,Low
patient services,0.0,CA,OWN,58000.0,Source Verified,14.08,,,,0.0,,2011.0,0.0,6.0,6.0,31959.0,23651.0,0.0,0.0,,0.0,0.0,0.0,1.0,14.0,6.0,0.0,0.0,3.0,12500.0,5.0,5.0,5.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,24000.0,36.0,20.39,896.71,D,D4,Mar-2018,Current,fractional,Cash,20983.18,3792.29,3016.82,775.47,0.0,Low
teacher,7.0,SC,MORTGAGE,120000.0,Not Verified,15.77,,,,0.0,,1994.0,0.0,37.0,17.0,341609.0,52830.0,0.0,0.0,,0.0,406.0,3.0,4.0,16.0,17.0,0.0,0.0,8.0,45100.0,20.0,13.0,11.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,19000.0,36.0,9.43,608.01,B,B1,Mar-2018,Current,whole,Cash,17613.05,1814.08,1386.95,427.13,0.0,Low
,,TN,OWN,20000.0,Source Verified,12.35,,,,0.0,,2007.0,5.0,14.0,9.0,11400.0,7362.0,0.0,0.0,,0.0,0.0,0.0,11.0,4.0,9.0,0.0,0.0,6.0,7600.0,10.0,9.0,7.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,9600.0,36.0,22.91,371.17,E,E1,Jan-2018,Current,fractional,Cash,8826.64,1509.12,773.36,735.76,0.0,Low
,,WV,OWN,35000.0,Not Verified,21.09,,,,0.0,,1980.0,0.0,19.0,10.0,39509.0,15283.0,0.0,0.0,,0.0,0.0,1.0,2.0,,10.0,0.0,0.0,5.0,26800.0,14.0,9.0,8.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,21000.0,60.0,16.02,510.91,C,C5,Feb-2018,Current,whole,Cash,20059.13,2024.95,940.87,1084.08,0.0,Low
relationship manager,2.0,MN,MORTGAGE,123000.0,Verified,27.76,,,,0.0,70.0,1991.0,6.0,38.0,19.0,543308.0,98559.0,0.0,0.0,,0.0,0.0,3.0,10.0,0.0,19.0,0.0,0.0,4.0,57400.0,18.0,14.0,8.0,4.0,97.4,0.0,0.0,other,individual,28000.0,60.0,10.42,600.73,B,B3,Feb-2018,Current,whole,Cash,26550.87,2492.07,1449.13,1042.94,0.0,Low
team manager,8.0,AZ,RENT,106000.0,Source Verified,10.31,,,,1.0,13.0,2009.0,2.0,24.0,13.0,94151.0,89625.0,0.0,0.0,,0.0,0.0,10.0,1.0,4.0,13.0,0.0,0.0,2.0,11500.0,4.0,3.0,2.0,2.0,95.7,0.0,0.0,credit_card,individual,20000.0,60.0,20.39,534.23,D,D4,Mar-2018,Current,whole,Cash,19406.84,1580.03,593.16,986.87,0.0,Low
cnc programer,0.0,IN,RENT,70000.0,Not Verified,14.3,,,,0.0,,2007.0,0.0,7.0,4.0,44684.0,26825.0,0.0,0.0,,0.0,549.0,2.0,2.0,17.0,4.0,0.0,0.0,2.0,5500.0,2.0,2.0,2.0,0.0,100.0,0.0,0.0,major_purchase,individual,10000.0,60.0,12.61,225.54,C,C1,Mar-2018,Current,whole,Cash,9634.82,669.61,365.18,304.43,0.0,Low
corrections officer,2.0,FL,RENT,51000.0,Verified,21.55,,,,0.0,59.0,2010.0,0.0,14.0,12.0,52406.0,26907.0,0.0,0.0,59.0,0.0,95.0,2.0,7.0,16.0,12.0,0.0,0.0,6.0,17000.0,12.0,10.0,9.0,0.0,78.6,0.0,0.0,debt_consolidation,individual,12000.0,36.0,15.04,416.22,C,C4,Mar-2018,Current,fractional,Cash,11465.03,822.41,534.97,287.44,0.0,Low
principal,10.0,MN,RENT,80000.0,Not Verified,18.89,,,,0.0,,2003.0,3.0,24.0,14.0,120062.0,39801.0,0.0,0.0,,0.0,0.0,3.0,5.0,4.0,14.0,0.0,0.0,2.0,33800.0,13.0,11.0,3.0,1.0,100.0,0.0,0.0,credit_card,individual,15000.0,36.0,6.08,456.88,A,A2,Jan-2018,Current,whole,Cash,13076.2,2271.73,1923.8,347.93,0.0,Low
,,TX,MORTGAGE,9972.0,Verified,191.7,78384.0,Verified,24.98,0.0,,1983.0,3.0,16.0,10.0,227670.0,65483.0,0.0,0.0,,0.0,0.0,3.0,2.0,2.0,10.0,0.0,0.0,4.0,38300.0,7.0,6.0,5.0,2.0,100.0,0.0,0.0,debt_consolidation,joint,20000.0,60.0,18.06,508.53,D,D2,Feb-2018,Current,whole,Cash,19150.95,2014.05,849.05,1165.0,0.0,Low
sales consultant,4.0,SC,MORTGAGE,63000.0,Source Verified,19.05,,,,0.0,,2012.0,2.0,14.0,9.0,249753.0,37846.0,0.0,0.0,,0.0,278.0,2.0,6.0,6.0,9.0,0.0,0.0,2.0,14300.0,9.0,6.0,3.0,1.0,100.0,0.0,0.0,credit_card,individual,12000.0,60.0,10.91,260.38,B,B4,Feb-2018,Current,whole,Cash,11386.57,1037.89,613.43,424.46,0.0,Low
sr business analyst,0.0,OH,RENT,82200.0,Not Verified,23.21,,,,0.0,,2000.0,0.0,18.0,11.0,65300.0,38226.0,0.0,0.0,,0.0,0.0,1.0,1.0,,11.0,0.0,0.0,5.0,37100.0,13.0,10.0,7.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,16000.0,36.0,7.34,496.53,A,A4,Mar-2018,Current,fractional,Cash,14796.68,1476.54,1203.32,273.22,0.0,Low
president,10.0,NY,MORTGAGE,49920.0,Source Verified,17.19,,,,0.0,,1997.0,1.0,28.0,10.0,97111.0,30825.0,0.0,0.0,,0.0,0.0,1.0,3.0,10.0,10.0,0.0,0.0,4.0,61100.0,20.0,9.0,6.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,40000.0,36.0,6.72,1229.97,A,A3,Feb-2018,Current,whole,Cash,35942.19,4904.95,4057.81,847.14,0.0,Low
program leader,0.0,CA,RENT,18000.0,Not Verified,37.07,,,,0.0,,2011.0,3.0,15.0,13.0,37604.0,23636.0,0.0,0.0,,0.0,0.0,6.0,6.0,4.0,13.0,0.0,0.0,2.0,8500.0,9.0,7.0,3.0,0.0,100.0,0.0,0.0,credit_card,individual,2000.0,36.0,15.05,69.38,C,C4,Jan-2018,Current,fractional,Cash,1772.89,343.56,227.11,116.45,0.0,Low
registered nurse ,3.0,CA,MORTGAGE,112000.0,Source Verified,2.68,,,,0.0,,2004.0,2.0,19.0,6.0,372500.0,10638.0,0.0,0.0,,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,4.0,46000.0,12.0,5.0,4.0,6.0,100.0,0.0,0.0,small_business,individual,40000.0,36.0,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,35863.53,4806.58,4136.47,670.11,0.0,Low
senior donor relations officer,0.0,IL,RENT,70000.0,Source Verified,8.4,,,,0.0,,1997.0,0.0,17.0,9.0,37500.0,20575.0,0.0,0.0,,0.0,0.0,0.0,1.0,,9.0,0.0,0.0,3.0,31500.0,14.0,9.0,4.0,0.0,100.0,0.0,0.0,credit_card,individual,20000.0,60.0,6.72,393.39,A,A3,Feb-2018,Current,fractional,DirectPay,18864.95,1528.76,1135.05,393.71,0.0,Low
office manager,7.0,CA,RENT,50000.0,Source Verified,23.84,,,,3.0,5.0,1992.0,0.0,18.0,11.0,39861.0,11773.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,14.0,11.0,0.0,0.0,4.0,5800.0,14.0,10.0,8.0,0.0,61.1,0.0,0.0,debt_consolidation,individual,7500.0,36.0,19.03,275.04,D,D3,Feb-2018,Current,fractional,Cash,6860.58,1084.3,639.42,444.88,0.0,Low
office manager,10.0,CT,MORTGAGE,51800.0,Source Verified,35.38,,,,0.0,58.0,1993.0,6.0,21.0,12.0,126947.0,85074.0,0.0,0.0,,0.0,0.0,4.0,5.0,8.0,12.0,0.0,0.0,3.0,26000.0,14.0,8.0,4.0,1.0,95.2,0.0,0.0,debt_consolidation,individual,7000.0,36.0,7.97,219.26,A,A5,Feb-2018,Current,whole,Cash,6302.01,870.84,697.99,172.85,0.0,Low
sr accountant,2.0,FL,RENT,77000.0,Verified,39.51,152000.0,Verified,26.92,0.0,,2006.0,4.0,51.0,30.0,189979.0,108455.0,0.0,0.0,,0.0,0.0,5.0,6.0,4.0,30.0,0.0,0.0,11.0,52200.0,30.0,25.0,15.0,0.0,100.0,0.0,0.0,debt_consolidation,joint,24000.0,60.0,17.09,597.63,D,D1,Feb-2018,Current,whole,Cash,22954.61,2344.95,1045.39,1299.56,0.0,Low
bartender,4.0,GA,RENT,85000.0,Not Verified,10.72,,,,0.0,,2006.0,2.0,9.0,6.0,38328.0,35794.0,0.0,0.0,,0.0,0.0,1.0,4.0,5.0,6.0,0.0,0.0,4.0,10600.0,6.0,5.0,5.0,0.0,100.0,0.0,0.0,credit_card,individual,6000.0,36.0,14.08,205.3,C,C3,Jan-2018,Current,fractional,Cash,5309.48,1021.81,690.52,331.29,0.0,Low
supervisor,10.0,CA,MORTGAGE,58000.0,Not Verified,17.71,,,,0.0,66.0,2006.0,0.0,17.0,6.0,395750.0,26178.0,0.0,0.0,66.0,0.0,0.0,1.0,1.0,14.0,6.0,0.0,0.0,2.0,21000.0,7.0,4.0,4.0,4.0,94.1,0.0,0.0,other,individual,4800.0,36.0,15.04,166.49,C,C4,Feb-2018,Current,whole,Cash,4477.0,495.46,323.0,172.46,0.0,Low
communications associate,5.0,KY,RENT,48000.0,Verified,42.65,100000.0,Verified,31.2,0.0,,1986.0,1.0,27.0,11.0,188527.0,149388.0,0.0,0.0,,0.0,0.0,3.0,1.0,9.0,11.0,0.0,0.0,2.0,36500.0,9.0,7.0,4.0,0.0,100.0,0.0,0.0,vacation,joint,5000.0,36.0,21.45,189.54,D,D5,Feb-2018,Current,whole,Cash,4588.46,711.82,411.54,300.28,0.0,Low
teacher,9.0,AL,MORTGAGE,50622.0,Not Verified,5.95,,,,0.0,,2012.0,1.0,23.0,11.0,168011.0,71721.0,0.0,0.0,,0.0,0.0,1.0,6.0,2.0,11.0,0.0,0.0,3.0,7600.0,11.0,9.0,5.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,5600.0,36.0,9.44,179.23,B,B1,Jan-2018,Fully Paid,whole,Cash,0.0,5644.05,5600.0,44.05,0.0,Unknown
,,MD,MORTGAGE,47000.0,Source Verified,48.19,128000.0,Source Verified,24.05,0.0,,2001.0,0.0,13.0,10.0,361789.0,83207.0,0.0,0.0,,0.0,0.0,3.0,3.0,15.0,10.0,0.0,0.0,5.0,23000.0,5.0,5.0,5.0,2.0,100.0,0.0,0.0,credit_card,joint,21000.0,36.0,9.93,676.93,B,B2,Jan-2018,Current,whole,Cash,18442.24,3361.48,2557.76,803.72,0.0,Low
warehouse,4.0,TX,OWN,31200.0,Source Verified,17.95,,,,0.0,,2007.0,0.0,15.0,5.0,36266.0,18283.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,2.0,23500.0,7.0,4.0,3.0,0.0,100.0,0.0,0.0,small_business,individual,21275.0,60.0,14.08,495.92,C,C3,Jan-2018,Current,whole,Cash,20014.29,2446.32,1260.71,1185.61,0.0,Low
clerk,3.0,OK,MORTGAGE,13500.0,Source Verified,174.49,140000.0,Source Verified,25.46,0.0,,1997.0,1.0,25.0,11.0,132365.0,72651.0,0.0,0.0,,0.0,0.0,3.0,2.0,4.0,11.0,0.0,0.0,4.0,23800.0,10.0,8.0,5.0,2.0,100.0,0.0,0.0,debt_consolidation,joint,35000.0,60.0,15.05,833.57,C,C4,Jan-2018,Current,whole,Cash,33391.6,3333.29,1608.4,1724.89,0.0,Low
respiratory therapist ,5.0,FL,RENT,75000.0,Source Verified,16.37,,,,0.0,,2002.0,3.0,17.0,15.0,78394.0,44532.0,0.0,1.0,,0.0,0.0,8.0,5.0,8.0,15.0,0.0,0.0,4.0,25500.0,7.0,7.0,6.0,0.0,100.0,0.0,1.0,debt_consolidation,individual,24000.0,36.0,15.05,832.56,C,C4,Feb-2018,Current,fractional,Cash,2554.92,22290.11,21445.08,845.03,0.0,Low
grocery clerk,0.0,TN,RENT,43000.0,Source Verified,15.92,,,,1.0,14.0,1994.0,1.0,29.0,22.0,30879.0,12384.0,0.0,0.0,14.0,0.0,7519.0,5.0,15.0,10.0,22.0,0.0,0.0,6.0,9900.0,18.0,16.0,9.0,0.0,93.1,0.0,0.0,credit_card,individual,5000.0,36.0,9.44,160.03,B,B1,Jan-2018,Current,whole,Cash,4511.49,648.44,488.51,159.93,0.0,Low
owner,10.0,NY,MORTGAGE,100000.0,Source Verified,9.37,,,,0.0,63.0,1993.0,1.0,35.0,17.0,180695.0,28746.0,0.0,0.0,,0.0,0.0,2.0,4.0,7.0,17.0,0.0,0.0,3.0,92700.0,27.0,15.0,5.0,0.0,97.1,0.0,0.0,debt_consolidation,individual,20000.0,36.0,5.31,602.21,A,A1,Mar-2018,Current,fractional,Cash,17947.16,2300.73,2052.84,247.89,0.0,Low
senior erp consultant,3.0,GA,MORTGAGE,159000.0,Source Verified,18.5,,,,0.0,,1994.0,5.0,29.0,14.0,118475.0,142699.0,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,14.0,0.0,0.0,10.0,73400.0,17.0,13.0,13.0,5.0,100.0,0.0,0.0,credit_card,individual,18000.0,36.0,10.42,584.37,B,B3,Jan-2018,Current,whole,Cash,15822.16,2901.01,2177.84,723.17,0.0,Low
senior engineer,3.0,TX,MORTGAGE,103960.0,Not Verified,7.47,,,,0.0,,2004.0,5.0,34.0,10.0,157850.0,16981.0,0.0,0.0,,0.0,0.0,1.0,6.0,2.0,10.0,0.0,0.0,1.0,20200.0,11.0,8.0,2.0,4.0,100.0,0.0,0.0,home_improvement,individual,3500.0,36.0,6.72,107.63,A,A3,Jan-2018,Current,whole,Cash,2850.03,736.84,649.97,86.87,0.0,Low
wealth mgmnt associate,9.0,CA,RENT,67000.0,Not Verified,33.28,,,,0.0,66.0,1993.0,2.0,34.0,15.0,103200.0,55164.0,0.0,0.0,,0.0,243.0,3.0,5.0,5.0,15.0,0.0,0.0,4.0,40600.0,27.0,12.0,6.0,0.0,97.1,0.0,0.0,credit_card,individual,18000.0,60.0,17.09,448.22,D,D1,Jan-2018,Current,whole,Cash,17012.93,2206.92,987.07,1219.85,0.0,Low
sales manager,0.0,CA,RENT,70000.0,Not Verified,8.55,,,,0.0,71.0,2009.0,2.0,9.0,7.0,46558.0,23680.0,0.0,0.0,71.0,0.0,0.0,1.0,7.0,10.0,7.0,0.0,0.0,5.0,24000.0,7.0,6.0,6.0,0.0,88.9,0.0,0.0,major_purchase,individual,10000.0,60.0,14.07,233.05,C,C3,Feb-2018,Current,whole,Cash,9528.59,916.57,471.41,445.16,0.0,Low
resource officer,10.0,NY,RENT,30000.0,Verified,18.8,,,,0.0,,1998.0,1.0,28.0,15.0,80100.0,24827.0,0.0,0.0,,0.0,0.0,1.0,4.0,8.0,14.0,0.0,0.0,3.0,47000.0,27.0,14.0,4.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,24000.0,60.0,13.59,553.35,C,C2,Feb-2018,Current,whole,Cash,22854.52,2168.1,1145.48,1022.62,0.0,Low
director of donor society clubs,6.0,IL,OWN,107000.0,Source Verified,28.93,,,,0.0,,2000.0,22.0,26.0,19.0,182242.0,159546.0,0.0,0.0,,0.0,0.0,6.0,3.0,1.0,19.0,0.0,0.0,7.0,48100.0,16.0,12.0,10.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,35000.0,36.0,15.04,1213.98,C,C4,Mar-2018,Current,fractional,Cash,32644.79,3583.45,2355.21,1228.24,0.0,Low
security guard,3.0,CA,MORTGAGE,38000.0,Not Verified,3.27,,,,0.0,,2014.0,0.0,7.0,7.0,17800.0,2780.0,0.0,0.0,,0.0,0.0,0.0,5.0,21.0,7.0,0.0,0.0,3.0,13000.0,7.0,7.0,4.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,10000.0,60.0,11.98,222.35,B,B5,Mar-2018,Current,whole,Cash,9628.77,653.74,371.23,282.51,0.0,Low
driver,10.0,CA,MORTGAGE,70000.0,Source Verified,30.64,,,,0.0,,1999.0,1.0,42.0,15.0,96511.0,46475.0,0.0,1.0,,0.0,0.0,2.0,7.0,8.0,15.0,0.0,0.0,3.0,24100.0,22.0,12.0,5.0,0.0,100.0,0.0,1.0,debt_consolidation,individual,24000.0,36.0,9.92,773.52,B,B2,Feb-2018,Current,whole,Cash,22260.34,2307.33,1739.66,567.67,0.0,Low
,,OK,OWN,50000.0,Not Verified,14.14,100000.0,Not Verified,31.02,0.0,,1986.0,0.0,16.0,10.0,251649.0,19261.0,0.0,0.0,,0.0,0.0,1.0,3.0,14.0,10.0,0.0,0.0,5.0,80500.0,12.0,8.0,5.0,2.0,100.0,0.0,0.0,debt_consolidation,joint,25000.0,60.0,15.04,595.28,C,C4,Mar-2018,Current,whole,Cash,24432.57,1148.78,567.43,581.35,0.0,Low
